address,class,data-pid,data-pname,data-price,data-equipment,data-style,data-variant,data-vgid,data-minspeed
13100 AURORA AVE N SEATTLE WA 98133 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1311 2ND AVE W SEATTLE WA 98119 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
1311 2ND AVE W SEATTLE WA 98119 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
1311 2ND AVE W SEATTLE WA 98119 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
1311 2ND AVE W SEATTLE WA 98119 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1312 NW  WOODBINE WAY SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
1312 NW  WOODBINE WAY SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
1312 NW  WOODBINE WAY SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
1312 NW  WOODBINE WAY SEATTLE WA 98177 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1312 YAKIMA AVE S SEATTLE WA 98144 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1312 YAKIMA AVE S SEATTLE WA 98144 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1313 BOREN AVE SEATTLE WA 98101 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
1313 BOREN AVE SEATTLE WA 98101 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
1313 BOREN AVE SEATTLE WA 98101 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
1313 BOREN AVE SEATTLE WA 98101 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1314 29TH AVE S SEATTLE WA 98144 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1314 29TH AVE S SEATTLE WA 98144 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1315 N  122ND ST SEATTLE WA 98133 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1315 N  122ND ST SEATTLE WA 98133 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1315 NW  80TH ST SEATTLE WA 98117 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1315 NW  80TH ST SEATTLE WA 98117 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1318 NW  WOODBINE WAY SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
1318 NW  WOODBINE WAY SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
1318 NW  WOODBINE WAY SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
1318 NW  WOODBINE WAY SEATTLE WA 98177 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
132 CENTRAL WAY SEATTLE WA 98033 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
132 CENTRAL WAY SEATTLE WA 98033 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
132 CENTRAL WAY SEATTLE WA 98033 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
132 CENTRAL WAY SEATTLE WA 98033 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1320 S  DAKOTA ST SEATTLE WA 98108 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1320 S  DAKOTA ST SEATTLE WA 98108 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13213 15TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
13213 15TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
13213 15TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
13213 15TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
13214 FRAZIER PL NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
13214 FRAZIER PL NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
13214 FRAZIER PL NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
13214 FRAZIER PL NW SEATTLE WA 98177 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
